"0","ggplot(PVD_final, "
"0","       aes(x = factor(PVD, level = c(""<50"", ""50-199"",""200-399"","
"0","                                     ""400-999"", "">1000"")), "
"0","           y = Percent, fill = Region)) +"
"0","    geom_bar(stat =""identity"", "
"0","             position = position_dodge(), "
"0","             colour = ""black"") +"
"0","    scale_fill_brewer() +"
"0","    theme_minimal() +"
"0","    ggtitle(""Property Value Distribution by Region"") +"
"0","    xlab(""Property Value (P1000)"") +"
"0","    ylab(""Percentage of Homes in Value Category"")"
