"0",""
"0","property.value <- census[-c(1:30), ] %>% "
"0","# remove unwanted rows"
"0","  mutate(across(Region.1:Region.6, ~. *100))"
"0","  # convert from decimal to percentage"
"0",""
"0","PVD_df <- data.frame("
"0","  Region_1 = c(property.value[1,1], sum(property.value[c(2:4), 1]), sum(property.value[c(5:7), 1]), sum(property.value[c(8:10), 1]), sum(property.value[c(11:13), 1])),"
"0","  Region_2 = c(property.value[1,2], sum(property.value[c(2:4), 2]), sum(property.value[c(5:7), 2]), sum(property.value[c(8:10), 2]), sum(property.value[c(11:13), 2])),"
"0","  Region_3 = c(property.value[1,3], sum(property.value[c(2:4), 3]), sum(property.value[c(5:7), 3]), sum(property.value[c(8:10), 3]), sum(property.value[c(11:13), 3])), "
"0","  Region_4 = c(property.value[1,4], sum(property.value[c(2:4), 4]), sum(property.value[c(5:7), 4]), sum(property.value[c(8:10), 4]), sum(property.value[c(11:13), 4])),"
"0","  Region_5 = c(property.value[1,5], sum(property.value[c(2:4), 5]), sum(property.value[c(5:7), 5]), sum(property.value[c(8:10), 5]), sum(property.value[c(11:13), 5])),"
"0","  Region_6 = c(property.value[1,6], sum(property.value[c(2:4), 6]), sum(property.value[c(5:7), 6]), sum(property.value[c(8:10), 6]), sum(property.value[c(11:13), 6])), "
"0","  row.names = c(""<50"", ""50-199"", ""200-399"", ""400-999"", "">1000""))"
"0",""
"0","PVD_df <- tibble::rownames_to_column(PVD_df, ""PVD"") # change format: rownames to column so ggplot2 can plot"
"0",""
"0","PVD_final <- pivot_longer(PVD_df, cols=2:7, names_to = ""Region"", values_to = ""Percent"")"
